Country,2011,2012,2013,2014,2015,2016,2017,2018,2019,Mean
AL,: ,: ,: ,: ,: ,: ,: ,84 ,:,9.333333333333334
AT,75 ,79 ,81 ,81 ,82 ,85 ,89 ,89 ,90 ,83.44444444444444
BA,: ,: ,: ,: ,: ,: ,: ,69 ,72 ,15.666666666666666
BE,77 ,78 ,80 ,83 ,82 ,85 ,86 ,87 ,90 ,83.11111111111111
BG,45 ,51 ,54 ,57 ,59 ,64 ,67 ,72 ,75 ,60.44444444444444
CH,: ,: ,: ,91 ,: ,: ,93,: ,96 ,31.11111111111111
CY,57 ,62 ,65 ,69 ,71 ,74 ,79 ,86 ,90 ,72.55555555555556
CZ,67 ,73 ,73 ,78 ,79 ,82 ,83 ,86 ,87 ,78.66666666666667
DE,83 ,85 ,88 ,89 ,90 ,92 ,93 ,94 ,95 ,89.88888888888889
DK,90 ,92 ,93 ,93 ,92 ,94 ,97 ,93 ,95 ,93.22222222222223
EA,74 ,76 ,79 ,81 ,83 ,85 ,87 ,89 ,90 ,82.66666666666667
EE,69 ,74 ,79 ,83 ,88 ,86 ,88 ,90 ,90 ,83.0
EL,50 ,54 ,56 ,66 ,68 ,69 ,71 ,76 ,79 ,65.44444444444444
ES,63 ,67 ,70 ,74 ,79 ,82 ,83 ,86 ,91 ,77.22222222222223
FI,84 ,87 ,89 ,90 ,90 ,92 ,94 ,94 ,94 ,90.44444444444444
FR,76 ,80 ,82 ,83 ,83 ,86 ,86 ,89 ,90 ,83.88888888888889
HR,61 ,66 ,65 ,68 ,77 ,77 ,76 ,82 ,81 ,72.55555555555556
HU,63 ,67 ,70 ,73 ,76 ,79 ,82 ,83 ,86 ,75.44444444444444
IE,78 ,81 ,82 ,82 ,85 ,87 ,88 ,89 ,91 ,84.77777777777777
IS,93 ,95 ,96 ,96 ,: ,: ,98 ,99,98 ,75.0
IT,62 ,63 ,69 ,73 ,75 ,79 ,81 ,84 ,85 ,74.55555555555556
LT,60 ,60 ,65 ,66 ,68 ,72 ,75 ,78 ,82 ,69.55555555555556
LU,91 ,93 ,94 ,96 ,97 ,97 ,97 ,93 b,95 ,30.22222222222222
LV,64 ,69 ,72 ,73 ,76 ,77 b,79 ,82 ,85 ,63.333333333333336
ME,: ,55 ,: ,: ,: ,: ,71 ,72 ,74 ,80.77777777777777
MK,: ,58 ,65 ,68 ,69 ,75 ,74 ,79,82 ,96.22222222222223
MT,75 ,77 ,78 ,80 ,81 ,81 ,85 ,84 ,86 ,95.22222222222223
NL,94 ,94 ,95 ,96 ,96 ,97 ,98 ,98 ,98 ,77.0
NO,92 ,93 ,94 ,93 ,97 ,97 ,97 ,96 ,98 ,69.66666666666667
PL,67 ,70 ,72 ,75 ,76 ,80 ,82 ,84 ,87 ,66.77777777777777
PT,58 ,61 ,62 ,65 ,70 ,74 ,77 ,79 ,81 ,31.666666666666668
RO,47 ,54 ,58 ,61 ,68 ,72 ,76 ,81 ,84 ,79.33333333333333
RS,: ,: ,: ,: ,64 ,: ,68 ,73 ,80 ,78.44444444444444
SE,91 ,92 ,93 ,90 ,91 ,94 b,95 ,93 ,96 ,61.666666666666664
SI,73 ,74 ,76 ,77 ,78 ,78 ,82 ,87 ,89 ,90.77777777777777
SK,71 ,75 ,78 ,78 ,79 ,81 ,81 ,81 ,82 ,30.555555555555557
TR,: ,47 ,49 ,60 ,70 ,76 ,81 ,84,88 ,
UK,83 ,87 ,88 ,90 ,91 ,93 ,94 ,95 ,96 ,
XK,: ,: ,: ,: ,: ,: ,89 ,93 ,93 ,
